Sequence	Annotation	Library_01	Library_02	Library_09	Library_10	Library_17	Library_18	Library_25	Library_26	Library_33	Library_34	Library_07	Library_08	Library_15	Library_16	Library_23	Library_24	Library_31	Library_32	Library_39	Library_40
URS0000695688_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	1	0	0
URS000069C4F1_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	3	3	1	0
URS00006A00A5_10116:rRNA:Rattus_norvegicus	8S-rRNA	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0
URS00006A9DC1_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	2	0	0	2	0	0	0	35	19	6	2	0	11	22	2	0
URS00006B4522_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00006C9565_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	6	7	2	0	0	2	0	0
URS00006E1233_10116:rRNA:Rattus_norvegicus	8S-rRNA	0	0	2	0	0	0	0	0	0	0	10	2	12	2	0	0	5	7	0	9
URS00006E7723_10116:rRNA:Rattus_norvegicus	8S-rRNA	0	0	1	0	0	0	0	1	0	0	5	1	3	1	1	0	1	2	0	2
URS0000705351_10116:rRNA:Rattus_norvegicus	8S-rRNA	0	0	2	2	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0
URS00007235A2_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	1	4	2	0
URS0000919FA2_10116:rRNA:Rattus_norvegicus	NA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
URS0000925E15_10116:rRNA:Rattus_norvegicus	NA	0	0	1	0	0	0	0	0	1	0	8	0	2	0	0	0	0	0	0	0
URS00009A9989_10116:rRNA:Rattus_norvegicus	NA	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0
URS0000A78AC8_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A8041B_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A80920_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	1	0
URS0000A8C614_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
URS0000A948D2_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000AA67D0_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
URS0000AA9862_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
URS0000AAB200_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
URS0000AAE707_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0
URS0000C06CBD_10116:rRNA:Rattus_norvegicus	NA	0	0	0	0	0	0	0	0	0	0	12	5	15	11	0	0	6	10	5	5
URS0000A76E17_10116:rRNA:Rattus_norvegicus	NA	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
URS0000AAC98C_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	2	0	0	0	0	4	4	2	2	0	5	0	0
URS0000CCF283_10116:rRNA:Rattus_norvegicus	NA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0
URS00005C0CAB_10116:rRNA:Rattus_norvegicus	NA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0
URS0000637711_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	1
URS0000665078_10116:rRNA:Rattus_norvegicus	8S-rRNA	0	0	0	0	0	1	0	0	0	1	5	0	2	2	1	0	0	0	0	0
URS00006684C0_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	1	4	13	0	0	0	0	0	0	9
URS00006856F4_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
URS00006A440B_10116:rRNA:Rattus_norvegicus	8S-rRNA	0	0	0	0	0	1	0	0	0	1	9	2	2	2	1	0	0	2	0	0
URS00006BEF1B_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
URS00006FAA83_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	5	2	2
URS000070DFE6_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	2	0	0	0	0	11	3	4	2	0	0	0	7	0	0
URS000071D14F_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
URS00008C6B45_10116:rRNA:Rattus_norvegicus	NA	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
URS0000907B2E_10116:rRNA:Rattus_norvegicus	NA	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	2	0	0	0
URS000092BC50_10116:rRNA:Rattus_norvegicus	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
URS0000986015_10116:rRNA:Rattus_norvegicus	NA	0	0	0	0	0	0	0	2	0	0	7	9	3	2	4	0	0	7	0	12
URS0000A78952_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A7BE3D_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0
URS0000A8007B_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	1	1	0	0
URS0000A87FBF_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
URS0000A9AFC8_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2
URS0000A9BECF_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
URS0000AA7DAD_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	6	0	6	0	0	0	2	0	0	0
URS0000CD08D2_10116:rRNA:Rattus_norvegicus	NA	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0
URS0000683A56_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	1	0	0	0	0	0	4	0	2	0	0	2	8	0	0
URS00006B792C_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
URS0000A8E224_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	2	12	9	0	0	3	11	0	0
URS0000A8EA3E_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
URS0000A90765_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	2
URS0000AA65F9_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
URS0000AA87F7_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
URS0000CD097D_10116:rRNA:Rattus_norvegicus	NA	0	0	0	1	2	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
URS000072DAA6_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A9413C_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000AA92E4_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
URS0000AAD12E_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A8E191_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000065E048_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2
URS000068B916_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000068E827_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	2	0	0
URS00006C4DCA_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
URS00006E7DF7_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0
URS00006F803A_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A79BF8_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A8A3E9_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A9B2DF_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000AA4FCE_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
URS00005988FB_10116:rRNA:Rattus_norvegicus	18S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000062A51C_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0
URS0000635C2A_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	5	0	0
URS00006B6798_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00006F2F3A_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
URS00007131E0_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A7DFF6_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A867B3_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A96220_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A9F54D_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
URS0000AA207D_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
URS00006BC3EE_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00006E87D1_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
URS0000A83360_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000AA85EE_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000AAEC73_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
URS00006B2358_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A90B48_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
URS0000AB0D86_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
URS0000712292_10116:rRNA:Rattus_norvegicus	8S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A36A41_10116:rRNA:Rattus_norvegicus	16S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A7880E_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A7FA9C_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A83985_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A8D97B_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A92D37_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A9DC3D_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A9FAAF_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000AA84AB_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000AA4E49_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000AA1E1E_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000AAC201_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00006D1611_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
URS0000A79221_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A9409C_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000AA3E90_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000AA7F45_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000AAF052_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00006817B4_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
URS0000A85A5A_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000063B5A2_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
URS000067DC6B_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
URS0000920ADA_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
URS0000A783EB_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
URS0000AAEAA5_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
URS000062E11D_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
URS0000A89516_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
URS0000946879_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A83344_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A9F98A_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000AA96DC_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000AB1063_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000071C567_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
